Time,Temp,Pressure,Altitude,Sealevel Pressure,Light Level,Volume,Humidity,Carbon monoxide
"Saturday, 02. September 2017 12:34PM",30.80,85365.00,1422.54,85359.00,604,4322.8070175438625,24.00%,484
"Saturday, 02. September 2017 12:37PM",30.90,85349.00,1423.69,85347.00,530,3118.3035714285725,23.80%,491
"Saturday, 02. September 2017 12:53PM",31.10,85344.00,1424.93,85338.00,492,3146.3687150838014,23.50%,483
"Saturday, 02. September 2017 12:56PM",31.10,85337.00,1425.70,85327.00,445,2759.075907590759,24.10%,450
"Saturday, 02. September 2017 12:58PM",31.10,85343.00,1424.17,85341.00,445,3146.3687150838014,24.10%,457
"Saturday, 02. September 2017 12:59PM",31.10,85346.00,1424.65,85341.00,448,3259.259259259259,23.20%,457
"Saturday, 02. September 2017 01:04PM",31.50,85346.00,1424.17,85343.00,442,1478400.0,21.40%,361
"Saturday, 02. September 2017 01:04PM",31.50,85353.00,1424.26,85347.00,441,1917.1094580233803,21.70%,522
"Saturday, 02. September 2017 01:05PM",31.40,85348.00,1424.17,85351.00,449,3868.9655172413804,21.50%,490
"Saturday, 02. September 2017 01:07PM",31.40,85346.00,1424.55,85341.00,454,4571.428571428569,19.80%,457
"Saturday, 02. September 2017 01:07PM",31.40,85346.00,1423.98,85343.00,443,5050.480769230766,19.80%,448
"Saturday, 02. September 2017 01:07PM",31.30,85351.00,1424.07,85347.00,433,5050.480769230766,19.80%,448
"Saturday, 02. September 2017 01:09PM",31.40,85342.00,1424.93,85340.00,441,5682.656826568269,19.70%,455
"Saturday, 02. September 2017 01:10PM",31.40,85341.00,1424.84,85344.00,434,8372.46963562753,19.40%,505
"Saturday, 02. September 2017 01:36PM",31.50,85357.00,1423.02,85361.00,504,6928.0205655527025,17.40%,451
